,open,high,low,close,adjclose,volume,ticker,adjclose_1,true_adjclose_1,profitBuy,profitSell
2017-03-28,55.40399932861328,56.13600158691406,55.0,55.4900016784668,55.4900016784668,39938000,TSLA,55.22921,55.47600173950195,0.0,0.2607917785644531
2017-04-10,61.83000183105469,62.74599838256836,61.742000579833984,62.47800064086914,62.47800064086914,38322500,TSLA,61.649456,61.742000579833984,0.0,0.8285446166992188
2017-04-11,62.67599868774414,62.694000244140625,61.099998474121094,61.742000579833984,61.742000579833984,28623000,TSLA,62.262302,59.36800003051758,0.0,-0.5203018188476562
2017-04-17,60.540000915527344,60.79999923706055,59.736000061035156,60.28799819946289,60.28799819946289,20693500,TSLA,59.37638,60.04999923706054,0.0,0.9116172790527344
2017-04-19,60.492000579833984,61.32400131225586,60.422000885009766,61.104000091552734,61.104000091552734,19490000,TSLA,60.104008,60.50199890136719,0.0,0.9999923706054688
2017-04-27,62.3380012512207,62.61800003051758,61.5,61.72600173950195,61.72600173950195,17343000,TSLA,62.14905,62.8139991760254,0.4230499267578125,0.0
2017-05-09,61.875999450683594,64.39800262451172,61.81999969482422,64.25199890136719,64.25199890136719,48382500,TSLA,62.566444,65.04399871826172,-1.6855545043945312,0.0
2017-05-18,61.400001525878906,62.78799819946289,61.0620002746582,62.61199951171875,62.61199951171875,28269000,TSLA,60.79688,62.16600036621094,0.0,1.8151206970214844
2017-06-02,67.9540023803711,68.57599639892578,67.18599700927734,67.97000122070312,67.97000122070312,27951000,TSLA,68.936424,69.46399688720703,0.9664230346679688,0.0
2017-06-07,71.26799774169922,72.0999984741211,71.02799987792969,71.93000030517578,71.93000030517578,46990000,TSLA,71.19992,74.0,-0.7300796508789062,0.0
2017-06-08,72.75,74.37999725341797,72.04399871826172,74.0,74.0,45307500,TSLA,73.345436,71.46399688720703,0.0,0.6545639038085938
2017-06-20,75.33399963378906,75.7760009765625,73.94599914550781,74.447998046875,74.447998046875,37193500,TSLA,73.83783,75.27999877929688,-0.61016845703125,0.0
2017-06-21,74.87000274658203,75.39800262451172,73.60399627685547,75.27999877929688,75.27999877929688,24616000,TSLA,73.91918,76.52200317382812,-1.3608169555664062,0.0
